ik,10006772,I,,"ik, 10006772",,,,,
je,9001167,you,,je 9001167,,,,,
het,7081845,the,,het 7081845,,,,,
de,6792979,the,,de 6792979,,,,,
dat,6007618,Which,,dat 6007618,,,,,
is,5657678,is,,is 5657678,,,,,
een,5039260,a,,een 5039260,,,,,
niet,4772886,not,,niet 4772886,,, , , 
en,3722568,and,,en 3722568,,,,,
van,2941504,from,,van 2941504,,,,,
wat,2769802,what,,wat 2769802,,,,,
we,2691355,we,,we 2691355,,,,,
in,2588813,in,,in 2588813,,,,,
ze,2456905,they,,ze 2456905,,,,,
hij,2329687,he,,hij 2329687,,,,,
te,2321454,at,,te 2321454,,,,,
zijn,2205527,to be,,zijn 2205527,,,,,
op,2144681,on,,op 2144681,,,,,
maar,2126469,but,,maar 2126469,,,,,
er,2044255,there,,er 2044255,,,,,
met,1856605,of,,met 1856605,,,,,
voor,1855375,in front of,,voor 1855375,,,,,
die,1846895,That,,die 1846895,,,,,
heb,1769182,have got,,heb 1769182,,,,,
me,1761825,me,,me 1761825,,,,,
als,1684935,as,,als 1684935,,,,,
was,1493229,used to be,,was 1493229,,,,,
ben,1382175,am,,ben 1382175,,,,,
om,1321308,to,,om 1321308,,,,,
dit,1258367,this,,dit 1258367,,,,,
mijn,1224703,mine,,mijn 1224703,,,,,
aan,1182865,at,,aan 1182865,,,,,
u,1177214,you,,u 1177214,,,,,
dan,1134894,than,,dan 1134894,,,,,
n,1131929,n,,n 1131929,,,,,
naar,1129663,nasty,,naar 1129663,,,,,
weet,1120838,know,,weet 1120838,,,,,
hier,1086524,here,,hier 1086524,,,,,
zo,1052236,like this,,zo 1052236,,,,,
jij,1044294,you,,jij 1044294,,,,,
kan,1042319,can,,kan 1042319,,,,,
geen,1020815,no,,geen 1020815,,,,,
nog,994553,yet,,nog 994553,,,,,
ja,982006,Yes,,ja 982006,,,,,
hem,972927,it,,hem 972927,,,,,
heeft,969831,has,,heeft 969831,,,,,
wel,958539,well,,wel 958539,,,,,
moet,957595,must,,moet 957595,,,,,
wil,941239,want to,,wil 941239,,,,,
hebben,926997,have,,hebben 926997,,,,,
goed,887819,good,,goed 887819,,,,,
haar,867675,hair,,haar 867675,,,,,
nee,856003,new,,nee 856003,,,,,
hoe,803291,how,,hoe 803291,,,,,
nu,792974,now,,nu 792974,,,,,
waar,773738,Where,,waar 773738,,,,,
over,746315,about,,over 746315,,,,,
ook,734375,also,,ook 734375,,,,,
doen,713370,to do,,doen 713370,,,,,
uit,700277,from,,uit 700277,,,,,
zou,692836,would,,zou 692836,,,,,
ga,679718,go,,ga 679718,,,,,
of,674193,or,,of 674193,,,,,
gaan,671794,to go,,gaan 671794,,,,,
bent,669561,are,,bent 669561,,,,,
